                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0337,                 1.7505,                 1.0992,                0.99142,                 0.6741,                0.98014,                 0.6897,                0.96881,                 2.3085,                 1.0739,             0.00065789,             0.00065789,             0.00065789
                      2,                 1.0577,                 1.0567,                 1.0979,                0.96838,                0.94429,                0.98594,                0.68738,                 1.0056,                0.90351,                 1.1545,              0.0012809,              0.0012809,              0.0012809
                      3,                 1.0657,                0.86863,                 1.1072,                0.91355,                0.97753,                0.95827,                0.66568,                0.97412,                0.96389,                 1.1733,              0.0018598,              0.0018598,              0.0018598
                      4,                 1.0628,                0.75219,                 1.1238,                0.98148,                0.98333,                0.98974,                0.71266,                0.96135,                0.59789,                 1.1233,               0.001802,               0.001802,               0.001802
                      5,                 1.0146,                0.65138,                 1.0941,                0.98428,                 0.9675,                0.98813,                0.70711,                 0.9635,                0.55105,                 1.1309,               0.001736,               0.001736,               0.001736
                      6,                0.98468,                0.59542,                 1.0795,                 0.9338,                0.97583,                0.97624,                0.71386,                 0.9419,                0.68284,                 1.1108,                0.00167,                0.00167,                0.00167
                      7,                0.99274,                0.57336,                 1.0784,                0.97627,                  0.975,                0.98928,                0.71226,                 0.9503,                0.50031,                 1.1177,               0.001604,               0.001604,               0.001604
                      8,                 0.9837,                0.55857,                 1.0739,                0.98836,                0.99059,                0.99115,                0.72503,                0.91794,                0.45909,                 1.0973,               0.001538,               0.001538,               0.001538
                      9,                0.95157,                0.52045,                   1.07,                0.98007,                 0.9975,                0.98805,                0.71263,                0.93753,                0.45587,                 1.1095,               0.001472,               0.001472,               0.001472
                     10,                0.95465,                0.51162,                 1.0677,                0.98838,                0.99667,                0.99042,                0.74983,                0.88833,                0.43876,                 1.0728,               0.001406,               0.001406,               0.001406
                     11,                0.95518,                0.50348,                 1.0667,                0.98744,                0.99583,                 0.9896,                0.73509,                0.89305,                 0.4172,                 1.0867,                0.00134,                0.00134,                0.00134
                     12,                0.92857,                0.48039,                 1.0625,                0.98186,                0.99583,                0.98844,                 0.7406,                0.91218,                0.41098,                 1.0715,               0.001274,               0.001274,               0.001274
                     13,                0.93789,                0.48299,                 1.0576,                0.99298,                0.99833,                0.98965,                0.76348,                0.85794,                0.37969,                 1.0656,               0.001208,               0.001208,               0.001208
                     14,                 0.9295,                0.46219,                 1.0695,                0.98905,                0.99833,                0.98874,                0.75074,                0.86586,                0.38794,                 1.0702,               0.001142,               0.001142,               0.001142
                     15,                0.90769,                0.45986,                 1.0471,                0.99379,                0.99917,                0.99226,                0.77278,                0.84809,                0.36436,                 1.0514,               0.001076,               0.001076,               0.001076
                     16,                0.90027,                0.45333,                   1.04,                0.99405,                0.99667,                0.99081,                0.76294,                0.86563,                 0.3748,                 1.0555,                0.00101,                0.00101,                0.00101
                     17,                0.88427,                0.43775,                 1.0415,                0.99187,                0.99833,                0.99051,                0.76935,                 0.8378,                0.36137,                 1.0458,               0.000944,               0.000944,               0.000944
                     18,                0.89251,                0.43828,                 1.0374,                0.99318,                0.99917,                 0.9913,                0.76405,                0.85082,                 0.3604,                 1.0597,               0.000878,               0.000878,               0.000878
                     19,                 0.8916,                0.42208,                  1.035,                0.99288,                0.99917,                0.99104,                 0.7779,                0.83225,                 0.3538,                 1.0538,               0.000812,               0.000812,               0.000812
                     20,                0.86168,                0.41584,                 1.0204,                0.99337,                0.99896,                0.99164,                0.77555,                0.83361,                0.33813,                 1.0403,               0.000746,               0.000746,               0.000746
                     21,                0.83819,                0.36941,                 1.0557,                0.99339,                0.99833,                0.99262,                0.78658,                0.81754,                0.34829,                 1.0371,                0.00068,                0.00068,                0.00068
                     22,                0.84147,                0.37684,                  1.048,                0.99222,                0.99917,                0.99108,                0.78031,                0.81305,                0.35283,                 1.0242,               0.000614,               0.000614,               0.000614
                     23,                0.82672,                0.36764,                 1.0339,                0.99315,                0.99917,                0.99118,                0.79565,                0.80795,                0.33579,                 1.0298,               0.000548,               0.000548,               0.000548
                     24,                0.83009,                0.35728,                  1.042,                0.99419,                0.99898,                0.98966,                0.80245,                0.78242,                0.32908,                 1.0175,               0.000482,               0.000482,               0.000482
                     25,                0.80941,                0.34907,                 1.0302,                0.99328,                0.99917,                0.98982,                0.80156,                0.79056,                0.32451,                 1.0257,               0.000416,               0.000416,               0.000416
                     26,                0.81569,                 0.3514,                 1.0317,                0.99386,                0.99917,                0.99044,                0.79945,                0.78044,                0.32036,                 1.0123,                0.00035,                0.00035,                0.00035
                     27,                0.79602,                0.33919,                 1.0264,                 0.9941,                0.99917,                0.99028,                0.81001,                 0.7666,                0.31008,                 1.0154,               0.000284,               0.000284,               0.000284
                     28,                0.78484,                0.32662,                 1.0068,                0.99399,                0.99917,                0.99062,                0.82017,                0.75859,                0.30402,                 1.0036,               0.000218,               0.000218,               0.000218
                     29,                0.77475,                0.32144,                 1.0011,                 0.9941,                0.99917,                0.98959,                0.81363,                0.77122,                 0.3039,                 1.0182,               0.000152,               0.000152,               0.000152
                     30,                0.76095,                0.31286,                 1.0014,                0.99407,                0.99917,                0.99055,                0.82955,                0.74082,                0.29131,                0.98749,                8.6e-05,                8.6e-05,                8.6e-05
